"","SRR7457551","SRR7457552","SRR7457555","SRR7457556","SRR7457559","SRR7457560"
"1110008L16Rik",172.520852,164.60477536,240.562780933333,160.6948172,161.07670528,156.110522613333
"1110008P14Rik",695.946641466667,728.462602213333,432.078627733333,466.543629413333,424.370490453333,370.40767832
"1110012L19Rik",211.666667813333,188.65999368,113.546668426667,129.059996853333,152.693328773333,137.94666096
"1110015O18Rik",0,0,0,0,0,0
"1110017D15Rik",0,0,0,4.65332653333333,0,0
"1110018N20Rik",0,0,0,0,0,0
"1110019D14Rik",56.0800018933333,52.18666568,15.4266732933333,20.62665972,33.54666064,43.0266570933333
"1110020A21Rik",5.01333121333333,0,0,0,1.00000033333333,0
"1110025L11Rik",0,0,0,0,0,0
"1110025M09Rik",30.9866706,15.626664,44.0800038,19.6266618,39.0666714,20.6266698
"1110028F11Rik",0,0,0,0,0,0
"1110028F18Rik",0,0,0,0,0,0
"1110032A03Rik",187.744357133333,143.102674466667,253.02931872,197.59997508,168.514835306667,195.647506493333
"1110032F04Rik",0.999989013333333,2.85704272,2.0000124,0,2.0000124,1.85334138666667
"1110034G24Rik",121.4133408,146.239993573333,119.240005306667,121.613328706667,144.18665508,138.066667453333
"1110035H17Rik",2.53293064,4.94679146666667,4.48848189333333,6.36204441333333,8.06080794666667,7.82026905333333
"1110036E04Rik",0,0,0,0,0,0
"1110037F02Rik",3071.75996013333,2679.36016096,1992.38663029333,1762.43353522667,1933.46681064,1797.97994725333
"1110038B12Rik",210.485124453333,172.63259636,166.117641786667,120.00612384,158.77479084,146.884237373333
"1110038F14Rik",377.053334666667,352.213327333333,324.106670266667,315.106668,307.426654933333,248.500009466667
"1110046J04Rik",13.0697565333333,9.25342768,5.04213948,5.74838068,10.52308212,3.94666272
"1110051M20Rik",1069.77852628,851.721090493333,873.858032333333,1003.85493454667,774.314796506667,636.620760866667
"1110057P08Rik",0,0,0,0,0,0
"1110059E24Rik",619.006704466667,529.21999904,391.446661826667,466.55999512,346.450775466667,332.979968826667
"1110059G10Rik",388.719995253333,409.066682613333,373.280025213333,341.293364586667,288.33333356,316.359995546667
"1110060G06Rik",0,0,0,0,0,0
"1110065P20Rik",62.6864088266667,84.8850440933333,74.70582688,77.9673302666667,57.0799680533333,43.1579112266667
"1190002N15Rik",723.559999333333,580.546668,694.706671333333,505.039995333333,1015.733336,883.15996
"1190003K10Rik",0,0,0,0,0,0
"1190005I06Rik",196.02666572,163.666674746667,200.480001386667,200.599985226667,151.473332693333,138.54000048
"1190007I07Rik",92.8200108266667,77.9466681066667,24.1066685066667,29.58667136,56.399997,43.2488820533333
"1200007C13Rik",8.5599958,1.6133278,45.5599882,27.0266694666667,20.8000038666667,10.5066798666667
"1300002E11Rik",120.52000164,146.28001848,148.493335586667,115.866663853333,203.706670586667,163.013337306667
"1300017J02Rik",0,0,0,0,0,0
"1500002C15Rik",35.1308394666667,25.2366314933333,35.0021013333333,38.8078280533333,31.0059776,21.2640896
"1500002F19Rik",4.87788861333333,4.52644333333333,3.19370028,7.16267313333333,0,1.91501897333333
"1500004A13Rik",144.598094786667,43.8382085466667,30.09705312,116.277058706667,135.464598986667,108.034617986667
"1500005C15Rik",9.03999936,3.02668632,6.69333672,3.99999096,2.01332208,4.02667608
"1500009C09Rik",0,0,0,0,0,0
"1500009L16Rik",0,0,0,0,0,0
"1500011B03Rik",63.55999316,51.9066708933333,62.7600006,63.2666719066667,40.3466614266667,33.6799955866667
"1500011K16Rik",354.333333333333,362.346677333333,289.266666666667,270.04,208.800010666667,148.626666666667
"1500012K07Rik",0,0,0,0,0,0
"1500015A07Rik",20.0666788666667,15.1200026,18.1333452666667,20.9066748666667,25.1066548666667,8.05334353333333
"1500015L24Rik",0,0,0,0,0,0
"1500015O10Rik",4.94666421333333,2.18666448,0,11.8266632,3.49333776,0
"1500017E21Rik",0,0,0,0,0,0
"1500026H17Rik",8.63998628,0,0,0,0,0
"1500035N22Rik",0,0,0,0,3.0266696,0
"1520401A03Rik",0,0,0,0,0,0
"1600002D24Rik",0,0,0,0,0,0
"1600002H07Rik",348.546694106667,362.23692428,110.53502456,141.972977466667,168.146671013333,152.759973893333
"1600002K03Rik",111.35999936,71.09333528,90.77333392,71.71999712,97.92000536,98.65333016
"1600010M07Rik",28.8133253333333,11.7759970933333,15.7466665066667,15.02269328,27.2593668533333,19.4666733333333
"1600012H06Rik",859.445130213333,771.435216666667,762.915419133333,808.06655176,922.920265306667,797.373199466667
"1600012P17Rik",0,0,0,0,0,0
"1600014C10Rik",5509.95052324,4776.73351373333,1718.10768928,1962.09985122667,3314.39992772,3099.09325286667
"1600014C23Rik",0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0
"1600017P15Rik",0,0.0666670933333333,0,1.01333026666667,0,1.01333322666667
"1600019K03Rik",0,0,0,0,0,0
"1600020E01Rik",143.1771268,133.56002604,177.253337133333,155.025727266667,170.160014186667,182.856099
"1600023N17Rik",1.71999628,1.74666164,1.01333738666667,1.99999598666667,0.213336306666667,0
"1600025M17Rik",0,0,0,0,0,0
"1600029O15Rik",0,0.973331773333333,0,0.50666472,0,0
"1700001C02Rik",0,0,0,0,0,0
"1700001C19Rik",0,0,2.01333453333333,0,0,0
"1700001D01Rik",0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0
"1700001G11Rik",2.86176064,0,0,0,0,0
"1700001G17Rik",2.0133308,1.0133296,1.0133296,1.0000012,1.9866624,5.0666712
"1700001J03Rik",0,0,15.6267007733333,8.79556446666667,9.54666476,0
"1700001J04Rik",0,0,0,0,0,0
"1700001J11Rik",0.5066752,0.337783466666667,0,0.5066752,0,1.45998986666667
"1700001K19Rik",10.3999992,8.25333384,17.79999912,21.11999544,6.19999512,9.72000072
"1700001L05Rik",103.093336346667,75.8533212,71.74665572,76.9199876,12.1866696,32.3733477333333
"1700001L19Rik",0,0,0,0,0,0
"1700001N15Rik",0,0,0,0,0,0
"1700001O22Rik",0,0,0,0,0,0
"1700001P01Rik",0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0
"1700003E16Rik",3.90668,3.41334213333333,5.01334373333333,5.02667573333333,3.45333813333333,2.10667146666667
"1700003E24Rik",0,0,0,0,0,0
"1700003F12Rik",24.8421487733333,20.9688563333333,61.1347954666667,42.8872263866667,36.4206548666667,11.3441837733333
"1700003G13Rik",0,0,0,0,0,0
"1700003G18Rik",0.07100908,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0
"1700003I16Rik",0,0,0,0,0,0
"1700003I22Rik",0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0
"1700003M07Rik",0,0,0,0,0,0
"1700003N22Rik",62.86666624,52.8511291733333,79.38887648,88.0911442133333,51.47111904,46.13330944
"1700003P14Rik",0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0
"1700006J14Rik",0,0,0,0,0,0
"1700006P03Rik",0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0
"1700007E05Rik",3.51999554666667,0.4053296,0.682664586666667,4.7900112,0.200006573333333,0.993334933333333
"1700007F19Rik",0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0
"1700007J10Rik",5.48542177333333,0,0,0,4.66140048,0
"1700007K09Rik",2.9866688,2.67999786666667,5.96000053333333,2.1733344,0,2.08000213333333
"1700007K13Rik",0,0,0,0,0,0
"1700007L15Rik",12.01333584,0,7.97333768,0,5.99999561333333,6.02666518666667
"1700007M16Rik",0,0,0,0,0,0
"1700007P06Rik",0,0,0,0,0,0
"1700008A23Rik",0,1.01333768,0,0,0,0
"1700008B11Rik",11.7466674666667,7.86666354666667,11.05333352,6.64000034666667,12.3199978933333,8.90666869333333
"1700008H02Rik",0,0,0,0,0,0.19999184
"1700008J07Rik",31.7524514133333,33.1325952,11.6824849066667,30.3195818666667,18.2733346133333,18.4145527466667
"1700008K24Rik",0,0,0,0,0,0
"1700008O03Rik",0,0,0,0,0,0
"1700008P02Rik",0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0
"1700009J07Rik",0,2.02666085333333,0,0,0.946664426666667,0
"1700009N14Rik",0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0
"1700010B13Rik",0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0
"1700010H22Rik",0,0,0,0,0,0
"1700010I02Rik",0,0,0,0,0,0
"1700010I14Rik",26.8266716133333,23.77332292,14.7600097333333,17.3999911866667,23.0533459466667,22.27998612
"1700010J16Rik",0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0
"1700010K24Rik",0,0,0,0,0,0
"1700010L04Rik",0,0,0,0,0,0
"1700010N08Rik",5.706666,2.853333,1.41333444,0.97333236,0.94666572,1.89333396
"1700011B04Rik",0,0,0,0,0,0
"1700011C11Rik",0,0,0,0,0,0
"1700011D18Rik",0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0
"1700011I03Rik",0,0,0,0,0,0
"1700011L22Rik",0,0,2.85333717333333,0,0,0
"1700011M02Rik",0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0
"1700012C08Rik",0,0,0,0,0,0
"1700012C14Rik",0,0,0,0,0,0
"1700012D16Rik",0,0,0,0,0,0
"1700012E03Rik",0,0,0,0,0,0
"1700012I11Rik",0,0,0,0,0,0
"1700012J22Rik",0,0,0,0,0,0
"1700012L04Rik",1.0133328,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0
"1700013A02Rik",0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0
"1700013F07Rik",0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0
"1700013M08Rik",0,0,0,0.720000386666667,0.133330706666667,0
"1700013N06Rik",0,0,0,0,0,0
"1700014D04Rik",0,0,0,6.0666602,0,1.000004
"1700014F14Rik",0,0,0,0,0,0
"1700015C17Rik",0,0,0,0,0,0
"1700015E13Rik",0,0,2.5466644,0,0,0
"1700015F17Rik",0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0
"1700015O11Rik",0,0,0,0,0,0
"1700016A09Rik",6.4520116,1.70869946666667,16.1466622,10.0029548666667,3.0591394,5.65985266666667
"1700016B15Rik",0,0,0,0,1.01339693333333,0
"1700016C15Rik",0,0,1.84000512,0,0,0
"1700016D06Rik",0,0,0,0,0,0
"1700016D08Rik",0,0,0,0,0,0
"1700016F12Rik",0,0,0,0,0,0
"1700016G14Rik",0,3.27999834666667,0,0,0,0
"1700016G22Rik",0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0
"1700016P03Rik",0,5.40020524,7.762685,6.0598134,2.61704174666667,2.54484892
"1700016P04Rik",0,0,0,0,0,0
"1700017B05Rik",2705.05332946667,2620.25346090667,3091.26665296,2866.41993104,1781.89331141333,1492.84005277333
"1700017D01Rik",3.01333664,5.67998766666667,16.4000220933333,24.3333417466667,2.01332036,1.99999892
"1700017G19Rik",0,3.02665652,0,0,2.01331942666667,0
"1700017I07Rik",0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0
"1700017L05Rik",0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0
"1700018A14Rik",0,0,0,0,0,0
"1700018B08Rik",0,0,2.02666728,0,0,0
"1700018B24Rik",0,0,0,0,0,0
"1700018C11Rik",0,0,0,6.29333784,1.89333430666667,0
"1700018F24Rik",0,0,0,0,0,0
"1700018L02Rik",7.26885693333333,6.43250533333333,14.1967056,8.400791,7.99848606666667,5.085801
"1700018M17Rik",0.413862186666667,0,0,0.948046613333333,0,0
"1700019A02Rik",0,0,0,0,0,0
"1700019A23Rik",0.509754186666667,0.35599088,1.28247765333333,0.335742773333333,0.484357813333333,1.43913653333333
"1700019B03Rik",0,0,14.00000124,8.68000464,4.86665757333333,0
"1700019B21Rik",0,0,0,0,0,0
"1700019D03Rik",1.51999613333333,0,0,5.02666750666667,2.52000892,1.00001278666667
"1700019E08Rik",0,0,0,0,0,0
"1700019G24Rik",0,0,0,0,0,0
"1700019M22Rik",0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0
"1700019P21Rik",0,0,0,0,0,0
"1700020A23Rik",0,0,3.46196234666667,1.63168565333333,0,0
"1700020D05Rik",28.10665976,35.1466725733333,4.94832414666667,19.0400027866667,42.1866717733333,17.31999896
"1700020G17Rik",0,0,0,0,0,0
"1700020I14Rik",3208.15982165333,2858.86683209333,1552.77335136,1538.76007057333,2953.56673785333,2606.94019138667
"1700020L24Rik",34.8666701466667,15.94666384,44.4564320266667,20.5466704,17.9466655333333,27.8399998666667
"1700020M21Rik",0,0,0,0,0,0
"1700020N01Rik",3.83999376,5.03999712,5.01333384,11.773332,11.4400056,5.03999712
"1700020N15Rik",0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0
"1700021A07Rik",0,0,0,0.99999816,0,0
"1700021F05Rik",268.50667772,277.32665344,203.679991546667,211.386675826667,153.56666884,142.306674986667
"1700021F07Rik",0,0,0,0,0,0
"1700021F13Rik",0,0,0,0,0,0
"1700021J08Rik",23.5176763333333,13.204185,23.676177,26.458648,28.1839086666667,36.21649
"1700021L23Rik",0,0,0,0,0,0
"1700021N21Rik",0,0,0,0,0,0
"1700021P04Rik",0,0,0,0,0,0
"1700022A21Rik",0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0
"1700022F17Rik",0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0
"1700022I11Rik",5.17162948,9.49881130666667,12.8835169733333,15.3701947333333,0,0
"1700022N22Rik",12.07999872,9.88000008,18.7866660533333,7.89333481333333,12.3199999466667,7.22667629333333
"1700023C21Rik",0,0,0,0,0,0
"1700023F02Rik",0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,0,0
"1700023G09Rik",0,0,0,0,0,0
"1700023H06Rik",11.0000016,12.01333584,13.86667248,6.85333104,12.76000464,9.77332944
"1700024B05Rik",0,0,0,0,0,0
"1700024B18Rik",0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0
"1700024J04Rik",0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0
"1700024P16Rik",0,0,0,0,0,0
"1700025A08Rik",0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0
"1700025D23Rik",0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0
"1700025G04Rik",12.6800245333333,25.1066123466667,24.3066252,8.06668593333333,15.5733953466667,23.7999982
"1700025H01Rik",0,0,0,0,0,0
"1700025J12Rik",0,0,0,0,0,0
"1700025K24Rik",0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0
"1700025N21Rik",0,0,0,0,0,0
"1700025N23Rik",9.000001,10.7733808,32.5200516,38.5466686,17.5733314,18.3733342
"1700025O08Rik",0,0,0,0,0,0
"1700026D11Rik",0,2.6133338,0,2.89332941333333,5.66666716,2.14667068
"1700026F02Rik",0,0,0,0,0,0
"1700026J12Rik",0,0,0,0,0,0
"1700026J14Rik",0,0,0,0,0,0
"1700027A07Rik",3.6698624,0,5.0225196,0,0,0
"1700027A15Rik",0,0,0,0,0,0
"1700027F06Rik",0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0
"1700028E10Rik",22.02668652,17.11998372,39.82949648,29.19999192,28.98666944,26.05332192
"1700028I16Rik",0,0,0,0,0,0
"1700028J19Rik",10.06667748,15.3599966,16.81333096,14.65332684,16.54665496,0.99999848
"1700028K03Rik",12.18910944,5.17843930666667,0,6.4183774,10.5660451733333,2.37744706666667
"1700028M03Rik",0,0,0,0,0,0
"1700028N14Rik",5.07020772,5.69614392,3.80445108,1.2937044,4.76559108,1.54666848
"1700028P14Rik",0,0,0,0,0,0
"1700028P15Rik",0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0
"1700029B24Rik",0,0,1.01333661333333,0,0,0
"1700029E06Rik",0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0
"1700029H14Rik",2.80000512,0,4.75999744,0,0,0
"1700029I15Rik",68.7866632266667,30.0133294933333,86.50666752,74.3599954933333,24.0133271733333,42.16000152
"1700029J03Rik",0,0,0,0,0,0
"1700029J07Rik",19.8400112,13.0799928,2.98667306666667,7.22665866666667,4.02666746666667,13.0133194666667
"1700029M03Rik",0,0,0,0,0,0
"1700029M20Rik",0,0,0,0,0,0
"1700029N11Rik",0,0,0,0,0,0
"1700029P11Rik",1.99999488,1.01333674666667,0,2.66665984,0,0
"1700030A11Rik",0,0,0,0,0,0
"1700030C10Rik",85.4038200133333,50.0237166266667,66.60385856,50.0179811733333,36.0032531333333,22.12120188
"1700030C12Rik",0,0,0,0,0,0
"1700030C14Rik",0,0,2.33332848,0,0,0
"1700030F04Rik",0,0,0,0,0,0
"1700030I03Rik",0,0,0,0,0,0
"1700030J22Rik",10.90665984,12.9200075066667,0,8.06666113333333,6.05331346666667,0
"1700030K09Rik",171.701359666667,173.6934194,94.8991679466667,97.5985489466667,169.251382173333,152.581672426667
"1700030L20Rik",0,0,0,0,0,0
"1700030M09Rik",0.519994453333333,0,0,0,0,0.97333152
"1700030N03Rik",0,0,0,0,0,0
"1700030N18Rik",0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0
"1700031F10Rik",0,0,0,0,0,0
"1700031L13Rik",0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0
"1700034B16Rik",0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0
"1700034H15Rik",2.90597570666667,0,1.46666053333333,9.39041693333333,0,0
"1700034I23Rik",2.00666341333333,0,0,3.68667306666667,8.39998565333334,1.52000128
"1700034J04Rik",0,0,0,0,0,0
"1700034J05Rik",4.89335124,0,5.46668590666667,5.89331906666667,4.01334266666667,0
"1700034K08Rik",0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0
"1700034P13Rik",10.4846154133333,7.313344,0,0,0,4.53821205333333
"1700036A12Rik",0,0,0,0,0,0
"1700036G14Rik",0,0,0,0,0,0
"1700036O09Rik",0,0,0,0,0,0
"1700037C06Rik",0,0,0,0,0,0
"1700037C18Rik",55.6949812133333,535.24066508,408.185082453333,115.988867413333,375.15812992,39.50393968
"1700037F24Rik",0,0,0,0,0,0
"1700037H04Rik",674.799943933333,720.306722293333,493.58661332,481.920062266667,448.96004892,386.53330984
"1700039E15Rik",0,0,0,0,0,0
"1700039E22Rik",0,0,0,0,0,0
"1700039I01Rik",0,0,0,0,0,0
"1700039M10Rik",0,0,5.39999952,0,0,0
"1700039M15Rik",0,0,0,0,0,0
"1700040D17Rik",0,0,0,0,4.03999714666667,0
"1700040F15Rik",0,0,0,0,0,0
"1700040F17Rik",0,0,0,0,0,0
"1700040K01Rik",0,0,0,0,0,0
"1700040L02Rik",0,0,0,0,0,0
"1700040L08Rik",0,0,0,0,0,0
"1700041C23Rik",0,0,0,0,0,0
"1700041G16Rik",0,0.986666346666667,0,1.95999744,3.04000248,0
"1700041M05Rik",0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0
"1700042D02Rik",0,0,0,0,0,0
"1700042G07Rik",0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0
"1700042O10Rik",0,0,22.0666683333333,11.9466613333333,0,0
"1700044C05Rik",0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0
"1700045I11Rik",0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0
"1700047A11Rik",0,0,0,0,0,1.08375621333333
"1700047F07Rik",0,0,0,0,0,0
"1700047G03Rik",0,0,0,0,0,0
"1700047I17Rik2",480.411680266667,462.640019066667,278.016711466667,327.795374933333,313.6292116,260.919641066667
"1700047K16Rik",0,2.36017405333333,3.09333314666667,6.78701989333333,0,6.63162730666667
"1700047L14Rik",0,0,0,0,0,0
"1700047M11Rik",0,0,0,0,0,0
"1700047N06Rik",0,1.0000032,0,0,0,0
"1700048F04Rik",0,0,0,0,0,0
"1700048M11Rik",7.65333233333333,5.17333333333333,0,0,2.22666733333333,11.1466644666667
"1700048O20Rik",0,0,0,0,0,0
"1700049E15Rik",0,0,0,0,0,0
"1700049E17Rik1",0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0
"1700049G17Rik",160.496073613333,152.341438706667,179.377825146667,184.37600176,179.90327592,169.68107656
"1700049J03Rik",0,0,0,0,0,0
"1700049L16Rik",0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0
"1700051K13Rik",4.98666368,3.00000128,1.0133296,5.69333568,2.3599968,0
"1700051O22Rik",0,0.459147333333333,0.24899864,0.837694,0.72257328,0
"1700052I22Rik",0,0,0,0,0,0
"1700052K11Rik",71.37212784,60.88432176,33.7833408,78.24329904,35.53539552,22.43374608
"1700054A03Rik",0,0,0,0,0,0
"1700054K02Rik",0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0
"1700054O19Rik",0,0,1.01333792,0.202672213333333,0,1.51999530666667
"1700055C04Rik",0,0,0,0,0,0
"1700055D18Rik",1.97334346666667,2.06791186666667,1.26057026666667,3.0133324,2.02666066666667,2.2090848
"1700056E22Rik",9.05333765333333,9.25333904,2.99999501333333,6.866667,3.98667024,3.02667132
"1700056N10Rik",14.9466628266667,13.6400063333333,37.7866662133333,26.6400000533333,13.1199943466667,17.17332876
"1700057G04Rik",0,0,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0
"1700057H21Rik",0,0,0,0,0,0
"1700058P15Rik",32.50666832,27.2533688933333,21.18666872,18.4266668133333,48.6400012,24.1066668266667
"1700060C16Rik",0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0
"1700060J05Rik",0,0,4.84306933333333,0,0,0
"1700060O08Rik",0,0,0,0,0,0
"1700061E17Rik",0,0,0,0,0,0
"1700061E18Rik",0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0
"1700061G19Rik",23.18667488,50.1066582666667,31.58667256,37.38666076,42.35999136,42.3733406666667
"1700061H18Rik",0,0,0,0,0,0
"1700061I17Rik",0,0,0,0,0,0
"1700061J23Rik",0,0,0,0,0,0
"1700063A18Rik",0,0,0,0,0,0
"1700063D05Rik",0,0,0,0,0,0
"1700063H04Rik",0,0,0,0,0,0
"1700063H06Rik",0,0,0,0,0,0
"1700063I16Rik",0,0,0,0,0,0
"1700063K16Rik",0,0,0,0,0,0
"1700063O14Rik",0,0,0,0,0,0
"1700064H15Rik",1.01333122666667,0,0,0,0,0
"1700064J06Rik",0,0,0,0,0,0
"1700064M15Rik",0,5.2799958,0,1.4266626,6.026665,0
"1700065D16Rik",0,1.96106572,1.73375434666667,1.01378628,0.92409528,0
"1700065I16Rik",0,0,0,0,0,0
"1700065J11Rik",0,0,0,0,0,0
"1700065J18Rik",0,0,0,0,0,0
"1700065L07Rik",0,0,0,0,0,0
"1700065O20Rik",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0
"1700066B19Rik",0,0,0,0,0,0
"1700066C05Rik",0,0,0,0,0,0
"1700066J03Rik",0,0,0,0,0,0
"1700066M21Rik",401.6933186,337.693318746667,149.880015706667,151.146665813333,244.660030866667,273.606660466667
"1700066N21Rik",0,0,0,0,0,0
"1700066O22Rik",0,0,0,0,0,0
"1700067G17Rik",0,0,0,0,0,0
"1700067K01Rik",20.1600053466667,16.5733279066667,0,3.07999894666667,14.0266576933333,9.78665788
"1700067P10Rik",0,0,0,0,0,0
"1700069B07Rik",7.41548238666667,8.71502133333333,11.1604176933333,8.17874356,5.45796042666667,4.85447098666667
"1700069L16Rik",0,0,0,0,0,0
"1700069P05Rik",0,0,0,0,0,0
"1700071G01Rik",0,0,0,0,0,0
"1700071K01Rik",0,0,0,0.23333856,0,0
"1700071M16Rik",0,0,79.5447204266667,12.3615802666667,0,1.89435946666667
"1700072B07Rik",0,0,0,0,0,0
